binedges,barheight
01-Nov-2018 02:00:00,2
02-Nov-2018 02:00:00,3
03-Nov-2018 02:00:00,2
04-Nov-2018 02:00:00,7
05-Nov-2018 02:00:00,10
06-Nov-2018 02:00:00,5
07-Nov-2018 02:00:00,4
08-Nov-2018 02:00:00,4
09-Nov-2018 02:00:00,14
10-Nov-2018 02:00:00,3
11-Nov-2018 02:00:00,8
12-Nov-2018 02:00:00,5
13-Nov-2018 02:00:00,11
14-Nov-2018 02:00:00,9
