binedges,barheight
-101.78,2
-101.708,3
-101.636,8
-101.564,6
-101.492,13
-101.42,4
-101.348,10
-101.276,4
-101.204,23
-101.132,8
-101.06,15
-100.988,7
-100.916,3
-100.844,6
-100.772,3
-100.7,9
-100.628,2
-100.556,2
-100.484,14
-100.412,18
-100.34,3
-100.268,2
-100.196,4
-100.124,5
-100.052,5
