binedges,barheight
-0.2,1
-0.1,0
0,0
0.1,0
0.2,1
0.3,0
0.4,1
0.5,0
0.6,2
0.7,0
0.8,0
0.9,1
1,0
1.1,3
1.2,6
1.3,8
1.4,19
1.5,19
1.6,35
1.7,45
1.8,66
1.9,41
2,41
2.1,25
2.2,28
2.3,24
2.4,21
2.5,22
2.6,22
2.7,20
2.8,7
2.9,8
3,8
3.1,4
3.2,6
3.3,4
3.4,6
3.5,1
3.6,2
3.7,0
3.8,3
3.9,0
4,1
