binedges,barheight
-0.5,1
-0.4,0
-0.3,1
-0.2,0
-0.1,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,1
0.6,0
0.7,0
0.8,0
0.9,2
1,0
1.1,1
1.2,3
1.3,6
1.4,7
1.5,4
1.6,6
1.7,7
1.8,11
1.9,15
2,21
2.1,13
2.2,19
2.3,12
2.4,12
2.5,18
2.6,7
2.7,15
2.8,8
2.9,8
3,5
3.1,6
3.2,3
3.3,1
3.4,2
3.5,1
3.6,4
3.7,1
3.8,0
3.9,0
4,1
4.1,0
4.2,0
4.3,0
4.4,1
